talk_id,public_url,speaker_name,headline,description,date given,event,duration,primary_language,published,tags,
29,https://www.ted.com/talks/steven_levitt_analyzes_crack_economics,Steven Levitt,The freakonomics of crack dealing,"Freakonomics author Steven Levitt presents new data on the finances of drug dealing. Contrary to popular myth, he says, being a street-corner crack dealer isn't lucrative: It pays below minimum wage. And your boss can kill you.",February-04,TED2004,0:21:15,en,9/19/06,"narcotics,culture,race,economics,business,cities",
93,https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice,Barry Schwartz,The paradox of choice,"Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.",July-05,TEDGlobal 2005,0:19:37,en,9/26/06,"culture,decision-making,choice,psychology,economics,happiness,business,potential,personal growth",
97,https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy,Dan Gilbert,The surprising science of happiness,"Dan Gilbert, author of ""Stumbling on Happiness,"" challenges the idea that we'll be miserable if we don't get what we want. Our ""psychological immune system"" lets us feel truly happy even when things don't go as planned.",February-04,TED2004,0:21:16,en,9/26/06,"TED Brain Trust,culture,evolution,choice,psychology,happiness,science,brain",
12,https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine,Eva Vertes,Meet the future of cancer research,Eva Vertes -- only 19 when she gave this talk -- discusses her journey toward studying medicine and her drive to understand the roots of cancer and Alzheimer's.,February-05,TED2005,0:18:49,en,10/2/06,"wunderkind,disease,cancer,health,science,technology",
39,https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging,Aubrey de Grey,A roadmap to end aging,"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.",July-05,TEDGlobal 2005,0:22:45,en,10/2/06,"disease,aging,health care,biotech,science,technology,engineering,future",
79,https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty,Iqbal Quadir,How mobile phones can fight poverty,"Iqbal Quadir tells how his experiences as a kid in poor Bangladesh, and later as a banker in New York, led him to start a mobile phone operator connecting 80 million rural Bangladeshi -- and to become a champion of bottom-up development.",July-05,TEDGlobal 2005,0:15:52,en,10/10/06,"telecom,microfinance,investment,transportation,global development,culture,alternative energy,poverty,business,invention,global issues,technology,communication",
91,https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty,Jacqueline Novogratz,Invest in Africa's own solutions,"Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach.",July-05,TEDGlobal 2005,0:12:53,en,10/10/06,"TED Brain Trust,philanthropy,microfinance,investment,global development,culture,poverty,entrepreneur,business,Africa",
3,https://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states,Ashraf Ghani,How to rebuild a broken state,"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan.",July-05,TEDGlobal 2005,0:18:45,en,10/18/06,"corruption,investment,global development,culture,military,poverty,entrepreneur,economics,business,policy,politics,global issues",
75,https://www.ted.com/talks/sasa_vucinic_invests_in_free_press,Sasa Vucinic,Why we should invest in a free press,"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling ""free press bonds.""",July-05,TEDGlobal 2005,0:18:00,en,10/18/06,"philanthropy,investment,culture,media,business,global issues",
4,https://www.ted.com/talks/burt_rutan_sees_the_future_of_space,Burt Rutan,The real future of space exploration,"In this passionate talk, legendary spacecraft designer Burt Rutan lambasts the US government-funded space program for stagnating and asks entrepreneurs to pick up where NASA has left off.",February-06,TED2006,0:19:37,en,10/25/06,"flight,entrepreneur,industrial design,rocket science,business,design,invention,engineering,NASA,aircraft",
89,https://www.ted.com/talks/ben_saunders_skis_to_the_north_pole,Ben Saunders,Why did I ski to the North Pole?,"Arctic explorer Ben Saunders recounts his harrowing solo ski trek to the North Pole, complete with engaging anecdotes, gorgeous photos and never-before-seen video.",February-05,TED2005,0:18:03,en,10/25/06,"travel,sports,culture,climate change,global issues,potential,technology,exploration,personal growth",
56,https://www.ted.com/talks/edward_burtynsky_on_manufactured_landscapes,Edward Burtynsky,My wish: Manufactured landscapes and green education,"Accepting his 2005 TED Prize, photographer Edward Burtynsky makes a wish: that his images -- stunning landscapes that document humanity's impact on the world -- help persuade millions to join a global conversation on sustainability.",February-05,TED2005,0:34:25,en,10/31/06,"photography,culture,art,pollution,environment,cities,design,TED Prize,social change",
57,https://www.ted.com/talks/robert_fischell_on_medical_inventing,Robert Fischell,My wish: Three unusual medical inventions,"Accepting his 2005 TED Prize, inventor Robert Fischell makes three wishes: redesigning a portable device that treats migraines, finding new cures for clinical depression and reforming the medical malpractice system.",February-05,TED2005,0:26:49,en,10/31/06,"disease,health care,medicine,business,invention,TED Prize,science,technology",
59,https://www.ted.com/talks/bono_s_call_to_action_for_africa,Bono,My wish: Three actions for Africa,"Musician and activist Bono accepts the 2005 TED Prize with a riveting talk, arguing that aid to Africa isn't just another celebrity cause; it's a global emergency.",February-05,TED2005,0:27:52,en,10/31/06,"philanthropy,entertainment,poverty,AIDS,Africa,politics,global issues,leadership,social change,activism",
22,https://www.ted.com/talks/michael_shermer_on_believing_strange_things,Michael Shermer,Why people believe weird things,"Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in ""Stairway to Heaven""? Using video and music, skeptic Michael Shermer shows how we convince ourselves to believe -- and overlook the facts.",February-06,TED2006,0:13:25,en,11/8/06,"entertainment,illusion,culture,faith,religion,science",
67,https://www.ted.com/talks/peter_donnelly_shows_how_stats_fool_juries,Peter Donnelly,How juries are fooled by statistics,Oxford mathematician Peter Donnelly reveals the common mistakes humans make in interpreting statistics -- and the devastating impact these errors can have on the outcome of criminal trials.,July-05,TEDGlobal 2005,0:21:20,en,11/8/06,"culture,genetics,statistics,science,technology",
